,naf_distance,naf_velocity
0,-180.0,-20.4311
1,-174.03799999999984,-19.4489
2,-173.04799999999977,-20.8226
3,-172.05799999999977,-18.3703
4,-170.07800000000046,-20.676
5,-169.08800000000042,-17.1203
6,-168.08700000000002,-20.0665
7,-167.09699999999998,-20.9043
8,-166.10699999999994,-20.6433
9,-165.1169999999999,-23.4918
10,-164.12699999999987,-21.0014
11,-163.12600000000026,-17.4453
12,-162.1360000000002,-17.6443
13,-161.14600000000019,-20.4709
14,-160.15600000000012,-21.0924
15,-159.1660000000001,-20.419
16,-158.16500000000048,-21.0442
17,-157.17500000000044,-22.4732
18,-156.1850000000004,-23.246
19,-155.19500000000036,-21.0642
20,-154.20500000000033,-19.0449
21,-153.20399999999992,-19.3288
22,-152.21399999999988,-21.1586
23,-151.22399999999985,-21.0468
24,-150.2339999999998,-23.5464
25,-149.24399999999977,-22.8958
26,-148.24300000000017,-23.6585
27,-147.2530000000001,-24.321
28,-146.2630000000001,-22.5696
29,-145.27300000000002,-23.7073
30,-144.28300000000002,-24.4928
31,-143.29299999999995,-23.9569
32,-142.29200000000034,-24.2963
33,-141.3020000000003,-24.5003
34,-140.31200000000027,-23.3714
35,-138.3320000000002,-19.6553
36,-137.3309999999998,-18.4096
37,-136.34099999999975,-17.5213
38,-135.3510000000005,-19.2802
39,-134.36100000000044,-21.051
40,-133.37100000000044,-18.7208
41,-132.37,-20.2721
42,-131.38,-21.3138
43,-130.38999999999993,-20.1164
44,-129.39999999999992,-19.5716
45,-128.40999999999985,-19.3972
46,-127.40900000000025,-18.5732
47,-126.41900000000021,-18.8108
48,-125.42900000000017,-19.1531
49,-124.43900000000014,-19.4786
50,-123.4490000000001,-19.3468
51,-122.45900000000006,-19.4605
52,-121.45800000000044,-22.0004
53,-120.4680000000004,-20.2626
54,-119.47800000000036,-21.8394
55,-118.48800000000033,-22.4988
56,-117.49800000000029,-19.6963
57,-116.49699999999989,-20.2132
58,-115.50699999999985,-21.3138
59,-114.51699999999981,-22.3917
60,-113.52699999999977,-25.0794
61,-112.53700000000052,-24.3332
62,-111.53600000000012,-24.4929
63,-110.54600000000008,-21.4201
64,-109.55600000000004,-19.3436
65,-108.566,-24.0554
66,-107.57599999999996,-27.3726
67,-106.57500000000034,-23.9752
68,-105.5850000000003,-20.6246
69,-104.59500000000027,-20.2005
70,-103.60500000000023,-20.5026
71,-102.6150000000002,-18.8169
72,-101.61399999999979,-16.9016
73,-100.62399999999975,-17.6983
74,-99.6340000000005,-17.251
75,-98.64400000000046,-16.3861
76,-97.65400000000042,-15.1865
77,-96.66400000000039,-14.6053
78,-95.66299999999998,-15.4881
79,-94.67299999999994,-15.2621
80,-93.68299999999991,-12.274
81,-92.69299999999987,-12.6754
82,-91.70299999999983,-14.374
83,-90.70200000000021,-14.8879
84,-89.71200000000017,-14.3275
85,-88.72200000000014,-14.0791
86,-87.7320000000001,-11.8857
87,-86.74200000000006,-11.3656
88,-84.7510000000004,-16.4764
89,-83.76100000000037,-14.7471
90,-82.77100000000033,-14.7558
91,-81.78100000000029,-14.3137
92,-80.77999999999989,-13.4351
93,-79.78999999999985,-12.9999
94,-78.79999999999981,-14.2234
95,-77.80999999999977,-14.4414
96,-76.81999999999974,-13.6304
97,-75.83000000000048,-13.1104
98,-74.82900000000008,-12.6878
99,-73.83900000000004,-12.5976
100,-72.849,-12.4326
101,-71.85899999999997,-10.4402
102,-70.86899999999993,-11.7217
103,-69.86800000000031,-11.7378
104,-68.87800000000027,-12.5877
105,-67.88800000000023,-12.4005
106,-66.8980000000002,-11.8032
107,-65.90800000000016,-11.8878
108,-64.90699999999975,-12.1619
109,-63.9170000000005,-12.5821
110,-62.92700000000046,-12.4694
111,-61.937000000000424,-11.0779
112,-60.947000000000386,-10.6986
113,-59.945999999999984,-10.7241
114,-58.955999999999946,-9.6966
115,-57.96599999999991,-9.1667
116,-56.97599999999987,-7.8626
117,-55.985999999999834,-6.705
118,-54.98500000000021,-5.842
119,-53.995000000000175,-6.1475
120,-53.00500000000014,-6.4932
121,-52.0150000000001,-5.7214
122,-51.02500000000006,-6.17
123,-50.035000000000025,-5.1998
124,-49.03400000000039,-5.0039
125,-48.04400000000038,-5.9027
126,-47.054000000000315,-10.0565
127,-41.102999999999724,-4.309
128,-40.11300000000048,-5.3208
129,-39.11200000000008,-4.5693
130,-38.12200000000004,-2.5441
131,-37.132000000000005,-2.1632
132,-36.14199999999997,-2.3443
133,-35.15199999999993,-1.4292
134,-34.151000000000295,-0.8142
135,-33.161000000000286,0.1508
136,-31.18100000000021,-0.2281
137,-30.191000000000145,0.0191
138,-29.18999999999977,-0.3384
139,-28.2000000000005,0.1766
140,-27.210000000000463,0.0432
141,-26.220000000000425,0.4506
142,-25.230000000000388,1.3695
143,-24.24000000000035,0.3156
144,-23.238999999999947,0.3619
145,-22.24899999999991,0.1578
146,-21.258999999999872,1.1262
147,-20.268999999999835,2.1881
148,-19.278999999999797,2.9614
149,-18.27800000000019,3.4015
150,-17.288000000000125,3.2549
151,-16.298000000000116,3.4421
152,-15.30800000000005,4.0819
153,-14.31800000000004,4.8541
154,-13.317000000000405,4.1985
155,-12.327000000000368,4.389
156,-11.33700000000033,3.0689
157,-10.347000000000293,2.4723
158,-9.357000000000255,2.5798
159,-8.355999999999852,2.4428
160,-7.365999999999815,1.9191
161,-6.375999999999777,2.0754
162,-5.38599999999974,2.6844
163,-4.39600000000047,3.7703
164,-3.4060000000004607,3.7556
165,-178.00900000000036,-18.0002
166,-177.0190000000003,-18.4579
167,-174.03799999999984,-19.2445
168,-173.04799999999977,-18.6639
169,-172.05799999999977,-20.4816
170,-171.0680000000005,-19.8931
171,-170.07800000000046,-19.806
172,-169.08800000000042,-19.4275
173,-168.08700000000002,-19.4587
174,-167.09699999999998,-19.9153
